,Nurse,2023-12-01-mañana,2023-12-01-tarde,2023-12-02-mañana,2023-12-02-tarde,2023-12-03-mañana,2023-12-03-tarde,2023-12-04-mañana,2023-12-04-tarde,2023-12-05-mañana,2023-12-05-tarde,2023-12-06-mañana,2023-12-06-tarde,2023-12-07-mañana,2023-12-07-tarde,2023-12-08-mañana,2023-12-08-tarde,2023-12-09-mañana,2023-12-09-tarde,2023-12-10-mañana,2023-12-10-tarde,2023-12-11-mañana,2023-12-11-tarde,2023-12-12-mañana,2023-12-12-tarde,2023-12-13-mañana,2023-12-13-tarde,2023-12-14-mañana,2023-12-14-tarde,2023-12-15-mañana,2023-12-15-tarde,2023-12-16-mañana,2023-12-16-tarde,2023-12-17-mañana,2023-12-17-tarde,2023-12-18-mañana,2023-12-18-tarde,2023-12-19-mañana,2023-12-19-tarde,2023-12-20-mañana,2023-12-20-tarde,2023-12-21-mañana,2023-12-21-tarde,2023-12-22-mañana,2023-12-22-tarde,2023-12-23-mañana,2023-12-23-tarde,2023-12-24-mañana,2023-12-24-tarde,2023-12-25-mañana,2023-12-25-tarde,2023-12-26-mañana,2023-12-26-tarde,2023-12-27-mañana,2023-12-27-tarde,2023-12-28-mañana,2023-12-28-tarde,2023-12-29-mañana,2023-12-29-tarde,2023-12-30-mañana,2023-12-30-tarde,2023-12-31-mañana,2023-12-31-tarde,objective_1,objective_2
0,person_4,-,-,-,-,M,-,-,CHX,-,T1,-,CHX,-,T2,-,-,-,-,-,T1,-,T1,-,T2,-,T2,-,-,-,T2,-,-,-,T1,-,T2,-,T1,-,T2,-,-,-,-,-,T1,-,-,-,T1,-,T1,-,T1,-,-,-,CHX,-,-,-,-,11.0,14.5625
1,person_6,M,-,DISP,-,-,-,-,T1,-,-,-,T1,-,T1,-,T1,-,-,-,-,-,-,M,-,-,-,-,-,M,-,-,-,M,-,M,-,-,-,M,-,-,-,-,-,DISP,-,-,-,DISP,-,-,-,COM,-,M,-,-,-,DISP,-,-,-,11.0,14.5625
2,person_1,-,CHX,-,T1,-,-,-,-,-,T2,-,-,-,T1,-,T1,-,-,-,-,-,T2,-,-,-,T1,-,CHX,-,CHX,-,-,-,-,-,T1,-,-,-,-,-,T1,-,T1,-,-,-,T1,-,-,-,T2,-,CHX,-,T1,-,T2,-,T1,-,-,11.0,14.5625
3,person_9,-,-,-,-,-,-,-,T2,-,CHX,-,T2,-,-,-,T1,-,T1,-,-,M,-,M,-,M,-,-,-,-,-,M,-,-,-,COM,-,COM,-,COM,-,COM,-,COM,-,M,-,-,-,-,T1,-,CHX,-,T2,-,T2,-,-,-,-,-,T1,11.0,14.5625
4,person_5,-,T1,-,-,-,-,-,-,M,-,-,-,M,-,M,-,DISP,-,-,-,COM,-,-,-,-,-,M,-,-,-,-,-,DISP,-,M,-,M,-,M,-,M,-,M,-,-,-,-,-,-,-,M,-,M,-,-,-,M,-,-,-,DISP,-,11.0,14.5625
5,person_3,COM,-,-,-,DISP,-,M,-,COM,-,M,-,COM,-,M,-,-,-,DISP,-,M,-,-,-,COM,-,COM,-,COM,-,-,-,-,-,-,-,M,-,-,-,-,-,COM,-,-,-,DISP,-,-,-,M,-,-,-,M,-,-,-,M,-,-,-,11.0,14.5625
6,person_2,-,CHX,-,-,-,T1,-,-,-,-,-,T1,-,CHX,-,T1,-,-,-,-,-,CHX,-,T1,-,-,-,T2,-,T1,-,-,-,-,-,CHX,-,T2,-,T1,-,T2,-,T2,-,-,-,T1,-,-,-,-,-,-,COM,-,M,-,-,-,-,-,11.0,14.5625
7,person_8,-,T2,-,-,-,-,M,-,M,-,M,-,M,-,DISP,-,M,-,-,-,-,-,-,CHX,-,CHX,-,T1,-,T2,-,T1,-,-,M,-,-,-,M,-,M,-,M,-,-,-,M,-,-,-,-,-,-,-,-,CHX,-,T1,-,-,-,T2,11.0,14.5625
8,person_7,M,-,M,-,-,-,COM,-,M,-,COM,-,-,-,-,-,-,-,M,-,-,-,COM,-,M,-,M,-,M,-,DISP,-,-,-,-,-,-,CHX,-,CHX,-,CHX,-,CHX,-,-,-,-,M,-,COM,-,M,-,-,-,COM,-,-,-,M,-,11.0,14.5625
9,person_4,M,-,-,-,M,-,-,CHX,-,T1,-,T2,-,T2,-,-,-,-,-,T1,-,-,M,-,COM,-,-,-,M,-,-,-,M,-,-,T2,-,T1,-,CHX,-,-,-,-,-,-,-,-,-,T1,-,T2,-,T2,-,-,-,T1,-,-,-,T1,13.0,12.5625
10,person_6,COM,-,-,-,DISP,-,-,-,-,-,M,-,M,-,-,-,DISP,-,-,-,-,T1,-,T1,-,-,-,T2,-,T2,-,-,-,-,COM,-,-,-,M,-,COM,-,COM,-,M,-,-,-,DISP,-,-,-,-,-,M,-,M,-,DISP,-,-,-,13.0,12.5625
11,person_1,-,CHX,-,T1,-,-,-,T1,-,T2,-,-,-,T1,-,-,-,-,-,-,-,-,-,-,M,-,M,-,M,-,-,-,DISP,-,-,-,-,T2,-,-,-,T1,-,T1,-,T1,-,-,-,-,-,T1,-,CHX,-,T1,-,T2,-,T1,-,-,13.0,12.5625
12,person_9,-,-,-,-,-,-,-,T2,-,CHX,-,CHX,-,CHX,-,T1,-,T1,-,-,-,T2,-,CHX,-,CHX,-,CHX,-,-,-,-,-,T1,-,T1,-,CHX,-,T1,-,T2,-,CHX,-,T1,-,-,-,T1,-,CHX,-,T1,-,T2,-,-,-,T1,-,-,13.0,12.5625
13,person_5,-,T1,-,-,-,-,M,-,M,-,-,-,COM,-,M,-,-,-,-,-,M,-,-,-,-,-,M,-,M,-,-,-,-,-,M,-,M,-,COM,-,M,-,-,-,-,-,DISP,-,DISP,-,COM,-,M,-,-,-,M,-,-,-,DISP,-,13.0,12.5625
14,person_3,COM,-,DISP,-,-,-,COM,-,COM,-,-,-,M,-,-,-,-,-,M,-,-,CHX,-,-,-,T2,-,T1,-,T1,-,-,-,-,COM,-,M,-,-,-,COM,-,M,-,-,-,M,-,M,-,M,-,-,-,M,-,-,-,M,-,-,-,13.0,12.5625
15,person_2,-,CHX,-,-,-,T1,-,T1,-,-,-,T1,-,-,-,-,-,-,-,-,COM,-,M,-,-,-,M,-,-,-,M,-,-,-,-,CHX,-,-,-,T2,-,CHX,-,T2,-,-,-,T1,-,-,-,-,M,-,-,-,-,-,-,-,-,-,13.0,12.5625
16,person_8,-,T2,-,-,-,-,M,-,M,-,M,-,M,-,M,-,M,-,-,-,-,-,-,T2,-,T1,-,CHX,-,CHX,-,T1,-,-,M,-,-,-,M,-,M,-,-,-,DISP,-,-,-,-,-,-,-,-,-,-,CHX,-,CHX,-,-,-,T2,13.0,12.5625
17,person_7,M,-,M,-,-,-,-,-,-,-,COM,-,M,-,DISP,-,-,-,DISP,-,M,-,COM,-,M,-,COM,-,COM,-,DISP,-,-,-,-,-,COM,-,-,-,-,-,M,-,-,-,-,-,-,-,M,-,COM,-,COM,-,COM,-,-,-,M,-,13.0,12.5625
18,person_4,M,-,-,-,M,-,-,CHX,-,T1,-,CHX,-,T2,-,-,-,-,-,-,-,T1,-,CHX,-,T2,-,-,-,T1,-,-,-,T1,-,T1,-,T1,-,CHX,-,-,-,-,-,T1,-,-,-,T1,-,T2,-,T1,-,-,-,T2,-,-,-,T1,14.0,11.5625
19,person_6,COM,-,DISP,-,-,-,-,CHX,-,-,-,T1,-,T1,-,T1,-,-,-,-,COM,-,COM,-,-,-,COM,-,COM,-,DISP,-,-,-,M,-,-,-,M,-,-,-,COM,-,DISP,-,-,-,DISP,-,-,-,-,-,M,-,M,-,DISP,-,-,-,14.0,11.5625
20,person_1,-,CHX,-,T1,-,-,-,-,-,T2,-,-,-,CHX,-,T1,-,-,-,-,-,CHX,-,-,-,CHX,-,T2,-,CHX,-,T1,-,-,-,T1,-,CHX,-,-,-,T1,-,T1,-,-,-,-,-,-,-,T1,-,CHX,-,T2,-,T1,-,T1,-,-,14.0,11.5625
21,person_9,-,T2,-,-,-,T1,-,T2,-,CHX,-,T2,-,-,-,T1,-,T1,-,-,-,CHX,-,T1,-,T1,-,T1,-,CHX,-,-,-,-,COM,-,M,-,COM,-,COM,-,M,-,M,-,-,-,-,T1,-,CHX,-,T2,-,T1,-,-,-,-,-,T2,14.0,11.5625
